Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
132,"L Maier-Hein, F Metze, T Schultz…","Session independent non-audible speech recognition using surface electromyography",2005,"IEEE Workshop on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1566521/?casa_token=qAGeePFAfPUAAAAA:gtcUpeRvWbI0rSKNv5pYW8fwC6-38yxuIHhSHvaOGGQqn0uzYIWWYk2ZMrcU9LpYgk8_6I5JTA","https://scholar.google.com/scholar?cites=1887381390932990719&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-11-06 21:29:44","","","","",,,,,132,8.80,33,4,15,"In this paper we introduce a speech recognition system based on myoelectric signals. The system handles audible and non-audible speech. Major challenges in surface electromyography based speech recognition ensue from repositioning electrodes between …"
126,"M Katzenmaier, R Stiefelhagen, T Schultz","Identifying the addressee in human-human-robot interactions based on head pose and speech",2004,"Proceedings of the 6th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1027933.1027959","https://scholar.google.com/scholar?cites=11809324246116493159&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-11-06 21:29:44","","","","",,,,,126,7.88,42,3,16,"In this work we investigate the power of acoustic and visual cues, and their combination, to identify the addressee in a human-human-robot interaction. Based on eighteen audio-visual recordings of two human beings and a (simulated) robot we discriminate the interaction of …"
124,"T Schultz, A Waibel","Fast bootstrapping of LVCSR systems with multilingual phoneme sets",1997,"Fifth European Conference on Speech …","isca-speech.org","https://www.isca-speech.org/archive/eurospeech_1997/e97_0371.html","https://scholar.google.com/scholar?cites=8468342879656285178&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-11-06 21:29:44","","","","",,,,,124,5.39,62,2,23,"In this paper we described an efficient method to bootstrap continuously spoken, large vocabulary speech recognition systems by multilingual phoneme sets. To evaluate this techniques we collected the multilingual database GlobalPhone which currently consists of …"
128,"SC Jou, T Schultz, M Walliczek, F Kraft…","Towards continuous speech recognition using surface electromyography",2006,"… Conference on Spoken …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2006/i06_1592.html","https://scholar.google.com/scholar?cites=8993131629050403236&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-11-06 21:29:44","","","","",,,,,128,9.14,26,5,14,"We present our research on continuous speech recognition of the surface electromyographic signals that are generated by the human articulatory muscles. Previous research on electromyographic speech recognition was limited to isolated word recognition …"
129,"NT Vu, DC Lyu, J Weiner, D Telaar…","A first speech recognition system for Mandarin-English code-switch conversational speech",2012,"… , Speech and Signal …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6289015/?casa_token=oXy38VCaIIEAAAAA:cfd6D5Hgj_5o8hz6TulFLFEChZM9TyfECKO72lOoMOX-TcAHVYq2OlNQqhPYtzgWFv9dfzdTOg","https://scholar.google.com/scholar?cites=587982689362947596&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-11-06 21:29:44","","","","",,,,,129,16.13,26,5,8,"This paper presents first steps toward a large vocabulary continuous speech recognition system (LVCSR) for conversational Mandarin-English code-switching (CS) speech. We applied state-of-the-art techniques such as speaker adaptive and discriminative training to …"
112,"T Schultz, A Waibel","Language independent and language adaptive large vocabulary speech recognition",1998,"Fifth International Conference on Spoken …","isca-speech.org","https://www.isca-speech.org/archive/icslp_1998/i98_0577.html","https://scholar.google.com/scholar?cites=12792712254566188893&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-11-06 21:29:44","","","","",,,,,112,5.09,56,2,22,"This paper describes the design of a multilingual speech recognizer using an LVCSR dictation database which has been collected under the project GlobalPhone. This project at the University of Karlsruhe investigates LVCSR systems in 15 languages of the world …"
69,"T Schultz, M Wand, T Hueber…","Biosignal-based spoken communication: A survey",2017,"… on Audio, Speech …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8114358/?casa_token=Y0qCTClpIXEAAAAA:5C_Fab7hvtH4KRxSKZ35kuVwDwCkXZYchcBKcbThRhekuf7r1r4btyHb_EvBpZQhYwqyq16KVA","https://scholar.google.com/scholar?cites=994726507155754875&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-11-06 21:29:44","","","","",,,,,69,23.00,17,4,3,"Speech is a complex process involving a wide range of biosignals, including but not limited to acoustics. These biosignals-stemming from the articulators, the articulator muscle activities, the neural pathways, and the brain itself-can be used to circumvent limitations of …"
112,"A Waibel, P Geutner, LM Tomokiyo…","Multilinguality in speech and spoken language systems",2000,"Proceedings of the …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/880085/?casa_token=86922tA9cBYAAAAA:RANbdGgScBasHYhdmzmV6UP1F0ZYGruzezPZDRF8Syp5F9a0p7vkf2R9UhDv090ozvvqoi7N0Q","https://scholar.google.com/scholar?cites=10374226289740442627&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-11-06 21:29:44","","","","",,,,,112,5.60,28,4,20,"Building modern speech and language systems currently requires large data resources such as texts, voice recordings, pronunciation lexicons, morphological decomposition information and parsing grammars. Based on a study of the most important differences …"
104,"Q Jin, T Schultz, A Waibel","Far-field speaker recognition",2007,"IEEE Transactions on Audio …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4291604/?casa_token=Rdnr_WpfMfUAAAAA:nGkeUuWRfOzCcSZ4hsOLLF9GApq4RGRoPMxlwBA6ZpCKNJTjgRhM87iHPpjrWFmcL_i96LIkwA","https://scholar.google.com/scholar?cites=12773873810909881330&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-11-06 21:29:44","","","","",,,,,104,8.00,35,3,13,"In this paper, we study robust speaker recognition in far-field microphone situations. Two approaches are investigated to improve the robustness of speaker recognition in such scenarios. The first approach applies traditional techniques based on acoustic features. We …"
100,"Q Jin, T Schultz","Speaker segmentation and clustering in meetings",2004,"Eighth International Conference on Spoken …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2004/i04_0597.html","https://scholar.google.com/scholar?cites=1102174428108527677&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-11-06 21:29:44","","","","",,,,,100,6.25,50,2,16,"This paper describes the automatic speaker segmentation and clustering system for natural, multi-speaker meeting conversations based on multiple distant microphones. The system was evaluated in the NIST RT-04S Meeting Recognition Evaluation on the speaker …"
100,"M Woszczyna, N Aoki-Waibel, FD Buo…","JANUS 93: Towards spontaneous speech translation",1994,"… of ICASSP'94. IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/389285/?casa_token=KoAjNG0lW30AAAAA:PWk4oQUn4r2CvmLVrjqnYbrex9NLmgfPtIpOh7JhtJfwI99KpCVKJDvrUwtBuDcp64Qj4YyQfA","https://scholar.google.com/scholar?cites=12720689163340204641&as_sdt=2005&sciodt=0,5&hl=en",25,"2020-11-06 21:29:44","","","","",,,,,100,3.85,25,4,26,"We present first results from our efforts toward translation of spontaneously spoken speech. Improvements include increasing coverage, robustness, generality and speed of JANUS, the speech-to-speech translation system of Carnegie Mellon and Karlsruhe University. The …"
43,"M Angrick, C Herff, E Mugler, MC Tate…","Speech synthesis from ECoG using densely connected 3D convolutional neural networks",2019,"Journal of neural …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1741-2552/ab0c59/meta","https://scholar.google.com/scholar?cites=10130441182290228762&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-11-06 21:29:44","","","","",,,,,43,43.00,9,5,1,"Objective. Direct synthesis of speech from neural signals could provide a fast and natural way of communication to people with neurological diseases. Invasively-measured brain activity (electrocorticography; ECoG) supplies the necessary temporal and spatial resolution …"
95,"YC Tam, T Schultz","Dynamic language model adaptation using variational Bayes inference",2005,"Ninth European Conference on Speech …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2005/i05_0005.html","https://scholar.google.com/scholar?cites=6529961798072102798&as_sdt=2005&sciodt=0,5&hl=en",27,"2020-11-06 21:29:44","","","","",,,,,95,6.33,48,2,15,"We propose an unsupervised dynamic language model (LM) adaptation framework using long-distance latent topic mixtures. The framework employs the Latent Dirichlet Allocation model (LDA) which models the latent topics of a document collection in an unsupervised …"
96,"S Stuker, T Schultz, F Metze…","Multilingual articulatory features",2003,"2003 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1198737/?casa_token=Jqyv7qUqWZkAAAAA:vSacRehllVyPwNrE0885uvP3LBAPAP2FVoSM6BebFmY9fpmbw5zDotAR2nmhNG_O_xfJbtYu0Q","https://scholar.google.com/scholar?cites=14109516619667053936&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-11-06 21:29:44","","","","",,,,,96,5.65,24,4,17,"Speech recognition systems based on or aided by articulatory features, such as place and manner of articulation, have been shown to be useful under varying circumstances. Recognizers based on features better compensate channel and noise variability. We show …"
99,"T Schultz, A Waibel","Multilingual and crosslingual speech recognition",1998,"Proc. DARPA Workshop on Broadcast News …","ri.cmu.edu","http://ri.cmu.edu/pub_files/pub1/schultz_tanja_1998_1/schultz_tanja_1998_1.pdf","https://scholar.google.com/scholar?cites=364376280071578293&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-11-06 21:29:44","PDF","","","",,,,,99,4.50,50,2,22,"This paper describes the design of a multilingual speech recognizer using an LVCSR dictation database which has been collected under the project GlobalPhone. This project at the University of Karlsruhe investigates LVCSR systems in 15 languages of the world …"
101,"NT Vu, D Imseng, D Povey, P Motlicek…","Multilingual deep neural network based acoustic modeling for rapid language adaptation",2014,"… on acoustics, speech …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6855086/?casa_token=IEJWaEDncxwAAAAA:QMN9Fe4X63OKG1nUes5We1YDmY7aU2YE18KzwKoe0-ZwM5rxSLiR6S-1hqk7RXdgV2H_0MGfZw","https://scholar.google.com/scholar?cites=14317728308436745283&as_sdt=2005&sciodt=0,5&hl=en",30,"2020-11-06 21:29:44","","","","",,,,,101,16.83,20,5,6,"This paper presents a study on multilingual deep neural network (DNN) based acoustic modeling and its application to new languages. We investigate the effect of phone merging on multilingual DNN in context of rapid language adaptation. Moreover, the combination of …"
88,"T Schultz, A Waibel","Experiments on cross-language acoustic modeling",2001,"Seventh European Conference on Speech …","isca-speech.org","https://www.isca-speech.org/archive/eurospeech_2001/e01_2721.html","https://scholar.google.com/scholar?cites=3491147597830838686&as_sdt=2005&sciodt=0,5&hl=en",31,"2020-11-06 21:29:44","","","","",,,,,88,4.63,44,2,19,"With the distribution of speech products all over the world, the portability to new target languages becomes a practical concern. As a consequence our research focuses on rapid transfer of LVCSR systems to other languages. In former studies we evaluated the …"
99,"T Schultz, NT Vu, T Schlippe","Globalphone: A multilingual text & speech database in 20 languages",2013,"2013 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6639248/?casa_token=lY-yy2ZOQtEAAAAA:HUdWhgO_wfmroMqGn4oai7UAnWD33E2Q7FyCVTPlyqpWrgO9RCX53wRJBf5s8uJiVqBZqI1wVw","https://scholar.google.com/scholar?cites=7794480869455737534&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-11-06 21:29:44","","","","",,,,,99,14.14,33,3,7,"This paper describes the advances in the multilingual text and speech database GlobalPhone, a multilingual database of high-quality read speech with corresponding transcriptions and pronunciation dictionaries in 20 languages. GlobalPhone was designed …"
95,"M Georgi, C Amma, T Schultz","Recognizing Hand and Finger Gestures with IMU based Motion and EMG based Muscle Activity Sensing.",2015,"Biosignals","csl.uni-bremen.de","https://www.csl.uni-bremen.de/cms/images/documents/publications/GeorgiAmmaSchultz_RecognizingHandAndFingerGesturesWithIMUBasedMotionAndEMGBasedMuscleActivitySensing.pdf","https://scholar.google.com/scholar?cites=6900803863196401922&as_sdt=2005&sciodt=0,5&hl=en",33,"2020-11-06 21:29:44","PDF","","","",,,,,95,19.00,32,3,5,"Session-and person-independent recognition of hand and finger gestures is of utmost importance for the practicality of gesture based interfaces. In this paper we evaluate the performance of a wearable gesture recognition system that captures arm, hand, and finger …"
87,"K Carki, P Geutner, T Schultz","Turkish LVCSR: towards better speech recognition for agglutinative languages",2000,"2000 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/861971/?casa_token=qzZvIfmGd3MAAAAA:qR81N6NZ1BDHQegmbG1BeovOy8jI2GfpRUqmK1A6O9DQouDbiPt1u_rYIi011HgraJ2HR_BOzQ","https://scholar.google.com/scholar?cites=7439643765576683228&as_sdt=2005&sciodt=0,5&hl=en",34,"2020-11-06 21:29:44","","","","",,,,,87,4.35,29,3,20,"The Turkish language belongs to the Turkic family. All members of this family are close to one another in terms of linguistic structure. Typological similarities are vowel harmony, verb-final word order and agglutinative morphology. This latter property causes a very fast …"
90,"C Amma, M Georgi, T Schultz","Airwriting: Hands-free mobile text input by spotting and continuous recognition of 3D-space handwriting with inertial sensors",2012,"2012 16th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6246142/?casa_token=PVM8OSbRqtAAAAAA:1KHMfqO9PvCN_-rJQ5FoQLvFLImUaQQf3HALClqHLemDTKPorEuJ4WhIRRExTRRyZCee9_bqlw","https://scholar.google.com/scholar?cites=4780500611260912826&as_sdt=2005&sciodt=0,5&hl=en",35,"2020-11-06 21:29:44","","","","",,,,,90,11.25,30,3,8,"We present an input method which enables complex hands-free interaction through 3d handwriting recognition. Users can write text in the air as if they were using an imaginary blackboard. Motion sensing is done wirelessly by accelerometers and gyroscopes which are …"
81,"F Metze, J McDonough, H Soltau, A Waibel, A Lavie…","The NESPOLE! Speech to Speech Translation System",2002,"","hal.inria.fr","https://hal.inria.fr/inria-00326408/","https://scholar.google.com/scholar?cites=3745999261875175170&as_sdt=2005&sciodt=0,5&hl=en",36,"2020-11-06 21:29:44","","","","",,,,,81,4.50,14,6,18,"The main goal of NESPOLE! is to advance the state-of-the-art of speech-to-speech translation in realistic scenarios and involving naive users. The first showcase presented in this demonstration involves an English, French, or German speaking client enquiring about …"
80,"YC Tam, T Schultz","Unsupervised language model adaptation using latent semantic marginals",2006,"Ninth International Conference on Spoken …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2006/i06_1705.html","https://scholar.google.com/scholar?cites=17938675750916737386&as_sdt=2005&sciodt=0,5&hl=en",37,"2020-11-06 21:29:44","","","","",,,,,80,5.71,40,2,14,"Abstract We integrated the Latent Dirichlet Allocation (LDA) approach, a latent semantic analysis model, into unsupervised language model adaptation framework. We adapted a background language model by minimizing the Kullback-Leibler divergence between the …"
85,"C Amma, T Krings, J Böer, T Schultz","Advancing muscle-computer interfaces with high-density electromyography",2015,"Proceedings of the 33rd Annual …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2702123.2702501","https://scholar.google.com/scholar?cites=9450278583300900416&as_sdt=2005&sciodt=0,5&hl=en",38,"2020-11-06 21:29:44","","","","",,,,,85,17.00,21,4,5,"In this paper we present our results on using electromyographic (EMG) sensor arrays for finger gesture recognition. Sensing muscle activity allows to capture finger motion without placing sensors directly at the hand or fingers and thus may be used to build unobtrusive …"
77,"T Schultz, I Rogina, A Waibel","LVCSR-based language identification",1996,"1996 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/543237/?casa_token=wqDbK-o3k_UAAAAA:l9ME-mXEQAEh7bTn4f9GO3EFVuTGqweGs1VkBGH0ScwRsibZqU7e6PYIdJSe5Fi9v0XOEwHCEA","https://scholar.google.com/scholar?cites=11914017411711457251&as_sdt=2005&sciodt=0,5&hl=en",39,"2020-11-06 21:29:44","","","","",,,,,77,3.21,26,3,24,"Automatic language identification is an important problem in building multilingual speech recognition and understanding systems. Building a language identification module for four languages we studied the influence of applying different levels of knowledge sources on a …"
77,"S Stuker, F Metze, T Schultz…","Integrating multilingual articulatory features into speech recognition",2003,"… European Conference on …","isca-speech.org","https://www.isca-speech.org/archive/eurospeech_2003/e03_1033.html","https://scholar.google.com/scholar?cites=12820725964691389648&as_sdt=2005&sciodt=0,5&hl=en",40,"2020-11-06 21:29:44","","","","",,,,,77,4.53,19,4,17,"The use of articulatory features, such as place and manner of articulation, has been shown to reduce the word error rate of speech recognition systems under different conditions and in different settings. For example recognition systems based on features are more robust to …"
75,"K Schaaff, T Schultz","Towards an EEG-based emotion recognizer for humanoid robots",2009,"RO-MAN 2009-The 18th IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5326306/?casa_token=DQyz85g0eRQAAAAA:QtNuVZinm9VD12o70AX0_ZMvh0OUOKMtClKRtJ2FiolyS-sUouBbom8TGQTgrz9EJJTqnADmuw","https://scholar.google.com/scholar?cites=15007179334849554597&as_sdt=2005&sciodt=0,5&hl=en",41,"2020-11-06 21:29:44","","","","",,,,,75,6.82,38,2,11,"In the field of interaction between humans and robots emotions have been disregarded for a long time. During the last few years interest in emotion research in this area has been constantly increasing as giving a robot the ability to react to the emotional state of the user …"
75,"NT Vu, T Schultz","Vietnamese large vocabulary continuous speech recognition",2009,"2009 IEEE Workshop on Automatic Speech …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5373424/?casa_token=_ZRI_Z0BY-QAAAAA:p_6ZfOHzfK5CIAhozBMoqVawD82_yrNioNId24ax0q9JKEDE2MoyN4K6CwaFU57cPpDIuo3IZQ","https://scholar.google.com/scholar?cites=8429209900246731677&as_sdt=2005&sciodt=0,5&hl=en",42,"2020-11-06 21:29:44","","","","",,,,,75,6.82,38,2,11,"We report on our recent efforts toward a large vocabulary Vietnamese speech recognition system. In particular, we describe the Vietnamese text and speech database recently collected as part of our GlobalPhone corpus. The data was complemented by a large …"
75,"H Adel, NT Vu, T Schultz","Combination of recurrent neural networks and factored language models for code-switching language modeling",2013,"Proceedings of the 51st Annual Meeting of the …","aclweb.org","https://www.aclweb.org/anthology/P13-2037.pdf","https://scholar.google.com/scholar?cites=2021233968357299782&as_sdt=2005&sciodt=0,5&hl=en",43,"2020-11-06 21:29:44","PDF","","","",,,,,75,10.71,25,3,7,"In this paper, we investigate the application of recurrent neural network language models (RNNLM) and factored language models (FLM) to the task of language modeling for Code-Switching speech. We present a way to integrate partof-speech tags (POS) and language …"
69,"T Schultz, A Waibel","Polyphone decision tree specialization for language adaptation",2000,"2000 IEEE International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/862080/?casa_token=0K6-ABHF3ZEAAAAA:kmmKVadCvmsXDpCHH9RoQVHRY1wtgEj00prXSzMDI8_XUOkhd2rzdPsRT-WNooJherORhpbSHA","https://scholar.google.com/scholar?cites=6067795000637878555&as_sdt=2005&sciodt=0,5&hl=en",44,"2020-11-06 21:29:44","","","","",,,,,69,3.45,35,2,20,"With the distribution of speech technology products all over the world, the fast and efficient portability to new target languages becomes a practical concern. The authors explore the relative effectiveness of adapting multilingual LVCSR systems to a new target language with …"
73,"F Putze, S Hesslinger, CY Tse, YY Huang…","Hybrid fNIRS-EEG based classification of auditory and visual perception processes",2014,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fnins.2014.00373/full","https://scholar.google.com/scholar?cites=13328216315612374994&as_sdt=2005&sciodt=0,5&hl=en",45,"2020-11-06 21:29:44","HTML","","","",,,,,73,12.17,15,5,6,"For multimodal Human-Computer Interaction (HCI), it is very useful to identify the modalities on which the user is currently processing information. This would enable a system to select complementary output modalities to reduce the user's workload. In this paper, we develop a …"
